,FC,labels,setting
412,2.311024111,modT-2 trend,0.9
413,2.311899222,modT-2 trend,0.9
414,2.312949667,modT-2 trend,0.9
415,2.315702222,modT-2 trend,0.9
416,2.316011222,modT-2 trend,0.9
417,2.315119111,modT-2 trend,0.9
418,2.315197333,modT-2 trend,0.9
419,2.315197333,modT-2 trend,0.9
420,2.310655333,modT-2 trend,0.9
421,2.309760556,modT-2 trend,0.9
422,2.309710889,modT-2 trend,0.9
423,2.310456889,modT-2 trend,0.9
424,2.311758667,modT-2 trend,0.9
425,2.311758667,modT-2 trend,0.9
426,2.315111,modT-2 trend,0.9
427,2.314680889,modT-2 trend,0.9
428,2.312888667,modT-2 trend,0.9
429,2.313435111,modT-2 trend,0.9
430,2.313326556,modT-2 trend,0.9
431,2.313218444,modT-2 trend,0.9
432,2.311620889,modT-2 trend,0.9
433,2.308745556,modT-2 trend,0.9
434,2.309962,modT-2 trend,0.9
435,2.312848444,modT-2 trend,0.9
436,2.316796778,modT-2 trend,0.9
437,2.318852,modT-2 trend,0.9
438,2.317419778,modT-2 trend,0.9
439,2.316732556,modT-2 trend,0.9
440,2.316558889,modT-2 trend,0.9
441,2.316558889,modT-2 trend,0.9
442,2.314323444,modT-2 trend,0.9
443,2.31361,modT-2 trend,0.9
444,2.314591,modT-2 trend,0.9
445,2.315582889,modT-2 trend,0.9
446,2.315582889,modT-2 trend,0.9
447,2.313554889,modT-2 trend,0.9
448,2.311837,modT-2 trend,0.9
449,2.312598889,modT-2 trend,0.9
450,,modT-2 trend,1
451,,modT-2 trend,1
452,,modT-2 trend,1
453,,modT-2 trend,1
454,,modT-2 trend,1
455,,modT-2 trend,1
456,,modT-2 trend,1
457,,modT-2 trend,1
458,,modT-2 trend,1
459,,modT-2 trend,1
460,,modT-2 trend,1
461,,modT-2 trend,1
462,,modT-2 trend,1
463,,modT-2 trend,1
464,,modT-2 trend,1
465,,modT-2 trend,1
466,,modT-2 trend,1
467,,modT-2 trend,1
468,,modT-2 trend,1
469,,modT-2 trend,1
470,,modT-2 trend,1
471,,modT-2 trend,1
472,,modT-2 trend,1
473,,modT-2 trend,1
474,,modT-2 trend,1
475,,modT-2 trend,1
476,,modT-2 trend,1
477,,modT-2 trend,1
478,,modT-2 trend,1
479,,modT-2 trend,1
480,,modT-2 trend,1
481,,modT-2 trend,1
482,,modT-2 trend,1
483,,modT-2 trend,1
484,,modT-2 trend,1
485,,modT-2 trend,1
486,,modT-2 trend,1
487,,modT-2 trend,1
488,,modT-2 trend,1
489,,modT-2 trend,1
